cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
nonlocated60,sample_00649,67.939040,39.823426,,,0.897154,0.731908,0.082276,0.896870,0.731032,0.082348,,,,,,,,,,,,,,,
nonlocated60,sample_00667,68.014065,42.038057,,,0.928571,0.756267,0.177600,0.929275,0.756379,0.177708,,,,,,,,,,,,,,,
nonlocated60,sample_00679,66.754573,41.972289,,,0.911791,0.757459,0.280134,0.873010,0.676185,0.300458,,,,,,,,,,,,,,,
nonlocated60,sample_00703,69.818557,43.518654,,,0.895155,0.731587,0.139338,0.894887,0.731038,0.139401,,,,,,,,,,,,,,,
nonlocated60,sample_00720,61.504120,39.932564,,,0.766286,0.685080,0.217216,0.824379,0.652232,0.245452,,,,,,,,,,,,,,,
nonlocated60,sample_00721,64.791703,42.337673,,,0.919707,0.774696,0.083606,0.920091,0.775150,0.083592,,,,,,,,,,,,,,,
nonlocated60,sample_00732,63.677252,40.600281,,,0.855450,0.697386,0.066915,0.853011,0.693802,0.067069,,,,,,,,,,,,,,,
nonlocated60,sample_00737,69.072289,41.509680,,,0.914372,0.746008,0.117025,0.914193,0.745535,0.117076,,,,,,,,,,,,,,,
nonlocated60,sample_00751,66.502708,41.338112,,,0.916070,0.713794,0.130250,0.914850,0.714056,0.130028,,,,,,,,,,,,,,,
nonlocated60,sample_00760,63.210421,40.984859,,,0.850807,0.699167,0.106108,0.843407,0.683685,0.107567,,,,,,,,,,,,,,,
nonlocated60,sample_00763,62.198947,39.369096,,,0.903718,0.763707,0.101751,0.902356,0.762902,0.101705,,,,,,,,,,,,,,,
nonlocated60,sample_00775,61.590491,38.754861,,,0.903420,0.762190,0.049151,0.870084,0.707900,0.050968,,,,,,,,,,,,,,,
nonlocated60,sample_00788,68.796048,43.246642,,,0.939831,0.811932,0.079353,0.939460,0.811252,0.079388,,,,,,,,,,,,,,,
nonlocated60,sample_00810,75.723840,33.316618,,,0.956776,0.862755,0.126797,0.957592,0.863053,0.126861,,,,,,,,,,,,,,,
